Year,Age_Group,Gender,Education_Level,Skills,Work_Experience,Youth_Unemployment_Rate,Employment_Status
2019,15-19,Male,Primary,Vocational,None,6.69,Employed
2005,20-24,Female,Secondary,Vocational,None,3.24,Employed
1998,15-19,Female,Tertiary,Vocational,None,4.07,Employed
2011,20-24,Female,Primary,Vocational,1-2 years,4.54,Employed
2009,15-19,Male,Tertiary,None,None,4.64,Employed
2013,15-19,Male,Secondary,None,1-2 years,4.39,Unemployed
2001,15-19,Male,Primary,None,1-2 years,7.16,Employed
2001,20-24,Male,Secondary,None,1-2 years,5.88,Employed
2014,15-19,Male,Secondary,None,3+ years,5.47,Employed
2014,15-19,Male,Primary,Vocational,None,2.27,Employed
1993,15-19,Female,Primary,Vocational,None,6.97,Employed
2012,15-19,Female,Primary,Vocational,1-2 years,7,Employed
1992,20-24,Female,Primary,Vocational,1-2 years,6.29,Employed
2014,20-24,Female,Primary,None,None,2.04,Employed
2020,15-19,Male,Primary,None,1-2 years,2.32,Employed
1992,20-24,Male,Primary,None,None,3.24,Employed
2011,15-19,Female,Tertiary,Technical,3+ years,2.72,Employed
2023,15-19,Male,Secondary,Vocational,1-2 years,4.19,Employed
2002,15-19,Female,Primary,Vocational,None,7.07,Employed
2012,20-24,Female,Tertiary,None,1-2 years,4.6,Employed
2015,20-24,Female,Tertiary,Vocational,None,2.07,Employed
2017,20-24,Male,Tertiary,Vocational,None,3.56,Employed
2018,20-24,Female,Secondary,None,1-2 years,2.25,Employed
2006,20-24,Female,Primary,Technical,3+ years,2.2,Employed
2005,20-24,Female,Tertiary,Technical,None,3.52,Employed
1993,20-24,Male,Secondary,Technical,None,3.52,Employed
1997,20-24,Male,Secondary,None,None,6.33,Employed
2011,20-24,Female,Secondary,Vocational,3+ years,7.36,Employed
1999,15-19,Male,Tertiary,None,3+ years,4.04,Employed
2008,20-24,Male,Primary,None,1-2 years,4.36,Employed
1994,20-24,Male,Tertiary,Vocational,3+ years,6.65,Unemployed
2015,20-24,Male,Tertiary,Technical,1-2 years,3.47,Employed
2004,20-24,Male,Primary,Technical,1-2 years,2.86,Employed
1999,20-24,Male,Primary,None,3+ years,6.69,Employed
2016,20-24,Male,Primary,Technical,1-2 years,2.26,Employed
1992,20-24,Male,Secondary,None,3+ years,5.41,Employed
2010,20-24,Male,Primary,None,1-2 years,5.09,Unemployed
2018,20-24,Male,Tertiary,Vocational,3+ years,3.9,Employed
1997,20-24,Female,Primary,Vocational,3+ years,3.73,Employed
1998,20-24,Female,Tertiary,Vocational,1-2 years,6.25,Employed
2025,15-19,Male,Secondary,None,None,2.48,Employed
2004,15-19,Female,Tertiary,Vocational,1-2 years,3.3,Employed
2007,20-24,Female,Tertiary,Technical,3+ years,6.03,Unemployed
1994,20-24,Male,Primary,Technical,None,5.02,Employed
1992,15-19,Male,Primary,None,1-2 years,2.7,Employed
1996,20-24,Male,Tertiary,None,1-2 years,6.85,Employed
1994,15-19,Female,Primary,Vocational,1-2 years,4.16,Employed
2019,15-19,Female,Secondary,None,None,6.55,Employed
2008,15-19,Male,Secondary,None,3+ years,6.33,Employed
2016,15-19,Male,Primary,Technical,1-2 years,5.43,Employed
2024,15-19,Male,Secondary,Technical,1-2 years,4.72,Employed
2000,20-24,Female,Primary,Vocational,1-2 years,7.39,Employed
2004,15-19,Female,Tertiary,None,1-2 years,2.8,Employed
2021,20-24,Female,Tertiary,None,1-2 years,5.99,Employed
2005,20-24,Female,Secondary,Technical,3+ years,3.05,Employed
1998,15-19,Male,Primary,None,3+ years,3.86,Employed
2004,15-19,Male,Primary,Technical,1-2 years,3.7,Unemployed
2013,20-24,Male,Secondary,Vocational,None,7.21,Unemployed
2011,15-19,Male,Tertiary,Technical,3+ years,7.32,Employed
2006,15-19,Female,Secondary,None,None,3.01,Employed
2008,20-24,Female,Tertiary,Vocational,3+ years,2.12,Employed
2014,20-24,Male,Primary,Technical,1-2 years,5.96,Unemployed
2016,15-19,Male,Tertiary,Technical,3+ years,4.3,Employed
2015,20-24,Female,Secondary,Vocational,1-2 years,2.49,Employed
2019,15-19,Male,Primary,Vocational,3+ years,5.76,Employed
2005,15-19,Female,Secondary,Technical,1-2 years,5,Employed
1991,15-19,Male,Secondary,None,1-2 years,7.39,Employed
2015,20-24,Male,Tertiary,Technical,1-2 years,3.25,Employed
1997,20-24,Male,Secondary,Vocational,1-2 years,4.22,Employed
1999,20-24,Male,Tertiary,Technical,None,4.98,Employed
2014,20-24,Male,Primary,Vocational,1-2 years,6.35,Employed
1991,20-24,Male,Tertiary,Vocational,None,5.02,Employed
1998,15-19,Male,Primary,None,None,5.37,Unemployed
2014,15-19,Female,Tertiary,Vocational,1-2 years,3.24,Employed
2001,15-19,Female,Secondary,Vocational,None,6.66,Employed
2007,15-19,Female,Tertiary,None,3+ years,4.36,Employed
1998,20-24,Female,Tertiary,Vocational,1-2 years,2.78,Employed
2025,15-19,Female,Primary,None,None,5.65,Employed
2025,20-24,Male,Secondary,None,1-2 years,3.19,Unemployed
2023,15-19,Male,Tertiary,Vocational,1-2 years,2.54,Employed
1995,20-24,Female,Secondary,Vocational,1-2 years,6.74,Employed
2018,20-24,Male,Tertiary,Technical,None,4.53,Employed
1997,15-19,Female,Tertiary,None,3+ years,6.12,Employed
1999,15-19,Female,Secondary,Technical,3+ years,3.6,Employed
1998,15-19,Male,Tertiary,Vocational,None,6.33,Employed
2002,15-19,Male,Secondary,Technical,1-2 years,2.62,Employed
2024,20-24,Male,Tertiary,None,None,3.96,Employed
2023,15-19,Female,Primary,Technical,None,7.38,Employed
2013,15-19,Male,Secondary,None,None,6.37,Employed
2014,20-24,Female,Tertiary,Vocational,1-2 years,4.73,Employed
2025,15-19,Female,Tertiary,Vocational,None,3.87,Employed
2012,15-19,Female,Primary,None,1-2 years,6.8,Employed
2017,15-19,Male,Secondary,Vocational,None,5,Employed
2025,15-19,Male,Tertiary,Vocational,3+ years,6.17,Employed
1991,15-19,Female,Primary,Vocational,None,6.15,Employed
2025,20-24,Male,Tertiary,Vocational,None,2.1,Employed
2004,15-19,Male,Secondary,None,3+ years,2.69,Employed
1993,15-19,Male,Tertiary,Technical,1-2 years,5.63,Employed
1991,15-19,Female,Tertiary,Technical,1-2 years,2.89,Employed
1995,15-19,Female,Tertiary,Vocational,None,3.41,Employed
2016,15-19,Male,Tertiary,Technical,3+ years,7.21,Unemployed
2004,20-24,Female,Primary,Technical,1-2 years,5.08,Employed
2017,15-19,Male,Primary,Vocational,None,6.13,Employed
1999,20-24,Male,Secondary,Vocational,3+ years,5.07,Employed
2005,20-24,Male,Primary,Technical,1-2 years,5.04,Employed
2005,15-19,Male,Primary,None,1-2 years,2.52,Employed
2016,15-19,Female,Secondary,Vocational,3+ years,3.89,Employed
2003,15-19,Female,Primary,None,3+ years,3.55,Employed
2022,15-19,Female,Primary,Technical,3+ years,4.15,Employed
2022,20-24,Male,Secondary,Vocational,3+ years,6.39,Employed
1994,15-19,Male,Secondary,None,None,4.05,Employed
2020,15-19,Male,Secondary,Vocational,3+ years,4.48,Employed
2013,15-19,Female,Tertiary,Technical,1-2 years,4.19,Employed
2005,15-19,Male,Tertiary,None,1-2 years,2.51,Employed
2019,15-19,Female,Secondary,Technical,None,4.43,Employed
2003,15-19,Female,Secondary,Technical,1-2 years,3.08,Employed
2022,20-24,Female,Secondary,Vocational,1-2 years,3.03,Employed
1997,20-24,Female,Tertiary,None,3+ years,2.52,Employed
2012,15-19,Female,Tertiary,Technical,1-2 years,3.96,Employed
2018,15-19,Female,Primary,Technical,None,6.17,Employed
1992,15-19,Male,Primary,None,3+ years,3.52,Employed
1996,20-24,Male,Secondary,Technical,3+ years,3.72,Employed
2018,15-19,Female,Tertiary,Technical,None,5.53,Employed
2018,20-24,Female,Tertiary,None,3+ years,3.08,Employed
2010,15-19,Male,Tertiary,None,3+ years,6.93,Employed
